"id_salarié","Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Sexe","Enfants"
"16990924-2829",22.5,69,"Consultant","Non",60,"CDI",35,9873.5,13,0,0,"F",3
"16990414-3527",10.8,32,"Consultant","Non",39,"CDI",35,4296.7167,39,0,1,"H",0
"16981206-3817",13,68,"RH","Oui",62,"CDI",35,3705.2167,29,1,1,"F",1
"16970415-1050",21.7,59,"Consultant","Non",98,"CDI",35,1697.15,17,1,0,"H",3
"16960906-7989",3.3,15,"R&D","Oui",81,"CDD",35,2848.3,15,1,0,"H",0
"16960628-0338",10.5,6,"Commercial","Non",47,"CDI",35,5464.55,34,0,0,"H",0
"16960619-9017",17.8,56,"Marketing","Oui",34,"CDI",35,9999.3833,27,0,1,"H",0
"16951117-9468",8.2,43,"RH","Oui",48,"CDI",24,3116.88,37,0,1,"F",3
"16950828-2259",7.5,60,"Marketing","Non",25,"CDI",24,5462.08,39,0,1,"H",2
"16950514-2464",18.9,69,"Compta Finances","Oui",89,"CDI",35,2769.4333,33,0,0,"H",2
"16940521-7028",5.9,70,"RH","Oui",7,"CDI",35,5522.1833,9,1,1,"F",2
"16940414-0312",20.2,53,"Consultant","Non",24,"CDI",35,7308.8167,12,0,1,"F",3
"16931211-0175",22.4,64,"Commercial","Non",15,"CDI",24,5895.76,23,1,1,"F",3
"16931009-2151",20,8,"R&D","Non",31,"CDI",35,7081.3167,26,0,1,"H",0
"16920917-6040",13.1,27,"Commercial","Oui",56,"CDI",35,6195.5833,23,0,1,"H",1
"16920713-6616",23.3,9,"Marketing","Non",81,"CDI",35,5517.6333,23,1,1,"H",1
"16920528-2461",15.2,31,"R&D","Non",35,"CDI",35,8458.45,1,0,0,"H",2
"16920219-1855",3.2,15,"Consultant","Oui",60,"CDI",35,2132.4333,18,1,1,"F",3
"16920105-1209",25,58,"Consultant","Non",19,"CDI",35,3097.0333,13,0,0,"F",1
"16910902-6667",16.3,28,"Compta Finances","Oui",32,"CDI",35,8218.8167,14,0,1,"F",2
"16910826-9763",8.4,17,"Consultant","Oui",51,"CDI",35,5388.7167,30,1,0,"F",1
"16910810-9712",12.2,28,"Consultant","Oui",45,"CDI",35,1873.0833,27,0,0,"H",1
"16910501-3081",15.8,46,"Commercial","Oui",60,"CDI",35,4152.6333,7,1,1,"F",0
"16900610-6265",5.8,44,"R&D","Oui",8,"CDI",35,9096.9667,21,0,1,"H",3
"16900402-0286",15.6,65,"Marketing","Oui",64,"CDI",35,7264.8333,31,0,1,"H",2
"16891227-4985",5.3,60,"Compta Finances","Oui",12,"CDI",35,2052.05,13,1,1,"F",0
"16891203-4397",1.3,43,"Consultant","Oui",6,"CDD",32,2496,21,0,0,"F",0
"16891013-6921",9.2,44,"RH","Oui",88,"CDI",35,2767.9167,6,1,0,"H",3
"16891006-1830",3.1,13,"RH","Non",65,"CDI",35,3486.8167,19,0,1,"H",2
"16890714-6248",10.3,11,"Consultant","Oui",87,"CDI",24,1709.76,10,1,1,"H",0
"16890313-1335",6.8,18,"Commercial","Oui",67,"CDI",35,3165.2833,0,0,1,"F",2
"16880121-1056",22.8,38,"Marketing","Oui",70,"CDI",35,6002.9667,2,1,1,"H",1
"16870824-4853",8.2,13,"Marketing","Oui",22,"CDI",35,2998.45,21,1,1,"H",3
"16861012-1389",24,60,"RH","Oui",92,"CDI",35,3508.05,11,0,1,"H",2
"16860412-1965",24.4,8,"Consultant","Non",36,"CDI",35,3232.0167,35,0,0,"H",1
"16851208-5567",23.7,38,"Consultant","Oui",15,"CDI",28,1851.5467,19,0,1,"H",0
"16850430-6617",15.7,45,"RH","Non",80,"CDI",35,5359.9,4,1,0,"H",1
"16850330-5826",18.4,64,"Commercial","Non",11,"CDI",35,9069.6667,1,0,0,"H",2
"16840316-2442",6,67,"Compta Finances","Oui",70,"CDI",35,7377.0667,17,1,1,"F",1
"16831218-0485",3.7,26,"RH","Oui",6,"CDI",35,7157.15,3,0,0,"F",0
"16830122-2462",15.6,24,"Commercial","Non",80,"CDI",35,8714.7667,37,1,0,"H",0
"16820822-2953",9.3,45,"Consultant","Non",95,"CDI",35,2070.25,24,0,0,"F",2
"16820814-8992",15.7,29,"Compta Finances","Non",70,"CDI",35,8073.2167,38,1,1,"H",3
"16820525-6301",17.1,43,"Consultant","Non",69,"CDI",35,1651.65,18,0,0,"H",0
"16820517-1112",17.4,42,"Consultant","Oui",90,"CDI",35,4516.6333,34,1,0,"F",1
"16820319-6442",17.2,11,"Compta Finances","Oui",56,"CDI",35,3383.6833,23,0,0,"H",2
"16810820-7468",1.4,42,"Consultant","Non",18,"CDD",35,3168.3167,10,0,0,"F",3
"16810725-6144",5.8,59,"RH","Oui",46,"CDI",35,4499.95,22,1,0,"H",1
"16810711-6330",1.4,67,"Marketing","Non",19,"CDD",35,1989.8667,5,0,0,"H",0
"16810230-7785",2.5,55,"Marketing","Non",67,"CDI",35,1863.9833,12,1,1,"F",3
"16810204-2564",9.1,46,"R&D","Oui",74,"CDI",35,9366.9333,8,1,1,"F",1
"16800116-6613",23.9,37,"Marketing","Non",1,"CDI",24,6842.16,21,1,1,"H",1
"16790704-0179",1.7,60,"Commercial","Oui",58,"CDD",35,3185,3,0,0,"F",3
"16781122-5775",22.4,48,"Marketing","Non",81,"CDI",35,3582.3667,30,1,1,"H",2
"16780226-1060",8.2,25,"Compta Finances","Non",17,"CDI",35,1833.65,8,0,1,"H",3
"16770921-1705",4.2,40,"R&D","Oui",4,"CDI",35,6356.35,26,1,0,"F",1
"16770802-4604",0.4,17,"Consultant","Oui",24,"CDD",35,3033.3333,8,0,0,"F",2
"16770513-2772",3.8,30,"Consultant","Non",77,"CDI",35,7672.8167,37,1,1,"F",3
"16761104-5282",6.3,17,"Consultant","Oui",30,"CDI",24,1110.72,14,1,1,"H",0
"16761028-0344",7.3,9,"Consultant","Oui",51,"CDI",24,5448.56,30,0,1,"H",3
"16760706-4982",19,3,"Compta Finances","Non",15,"CDI",35,1835.1667,6,0,1,"H",1
"16760117-3029",10.3,31,"Compta Finances","Non",32,"CDI",35,8056.5333,13,0,1,"F",1
"16750821-7945",7.4,62,"Consultant","Oui",72,"CDI",35,9737,12,1,1,"H",1
"16750302-5590",23.9,47,"Commercial","Oui",86,"CDI",35,5581.3333,20,1,0,"F",1
"16741025-9738",16.2,66,"RH","Non",46,"CDI",35,5056.5667,24,1,1,"F",2
"16740413-0572",10.7,30,"RH","Oui",1,"CDI",35,9039.3333,20,1,1,"H",0
"16740208-0084",1.9,15,"Commercial","Oui",76,"CDD",35,2881.6667,27,0,0,"F",1
"16731208-8904",9.7,30,"RH","Non",29,"CDI",35,6175.8667,38,0,1,"H",0
"16730918-6273",0.6,14,"Marketing","Oui",70,"CDD",35,2426.6667,21,0,0,"F",1
"16730908-9915",23,3,"Compta Finances","Oui",65,"CDI",35,7898.8,35,0,1,"F",1
"16721204-5277",21.1,61,"Consultant","Oui",1,"CDI",35,9447.3167,0,1,1,"H",2
"16721116-8286",21.6,14,"Commercial","Oui",62,"CDI",35,2396.3333,11,0,1,"H",2
"16720627-1632",8.3,50,"R&D","Non",93,"CDI",35,8716.2833,20,0,0,"H",1
"16720411-0782",16.2,21,"Consultant","Oui",3,"CDI",35,2731.5167,4,1,1,"F",2
"16720410-2094",10.8,27,"Commercial","Oui",78,"CDI",35,7942.7833,38,1,0,"F",3
"16711027-7246",6.5,68,"Consultant","Oui",89,"CDI",35,7178.3833,38,1,0,"H",2
"16710920-7451",15.7,48,"Consultant","Non",50,"CDI",35,5585.8833,17,1,0,"F",1
"16710204-1402",20.4,55,"RH","Non",78,"CDI",35,8277.9667,10,0,0,"H",0
"16710125-5136",12.8,20,"Commercial","Oui",52,"CDI",35,2369.0333,20,0,0,"F",1
"16700930-1784",20.6,13,"Marketing","Oui",99,"CDI",35,3462.55,3,1,0,"H",0
"16700908-2889",9.2,21,"Commercial","Oui",79,"CDI",35,2511.6,21,0,1,"H",2
"16691022-5702",20.1,12,"Consultant","Non",25,"CDI",35,9400.3,3,1,1,"H",1
"16690714-7836",1.1,9,"Marketing","Oui",96,"CDD",35,3640,6,0,0,"F",1
"16681012-6406",5.5,43,"Consultant","Non",47,"CDI",35,1774.5,16,1,1,"F",2
"16680515-6269",16.8,60,"Marketing","Oui",38,"CDI",35,3597.5333,32,1,1,"F",2
"16671208-2624",8.2,65,"Marketing","Oui",1,"CDI",24,5951.92,32,1,0,"F",0
"16670913-0147",0.8,8,"Compta Finances","Oui",45,"CDD",35,3201.6833,38,0,0,"F",1
"16670406-9274",7.5,6,"RH","Non",90,"CDI",35,3335.15,28,1,0,"H",3
"16661124-0695",12,66,"Consultant","Oui",46,"CDI",35,4712.2833,26,1,1,"F",0
"16661123-8764",24.9,62,"Commercial","Non",17,"CDI",35,5984.7667,6,0,1,"H",3
"16660922-3489",5.3,30,"Commercial","Oui",97,"CDI",35,2928.6833,33,1,1,"F",1
"16660325-6006",9.7,28,"Consultant","Oui",39,"CDI",35,6301.75,34,0,1,"F",1
"16650614-4689",19.3,23,"RH","Non",23,"CDI",35,3218.3667,27,1,0,"F",3
"16640904-2246",4.4,67,"Consultant","Oui",81,"CDI",35,1803.3167,8,1,0,"H",3
"16640715-7632",12.7,16,"RH","Oui",84,"CDI",35,7263.3167,30,1,0,"H",3
"16640301-8754",4.2,65,"Marketing","Oui",40,"CDI",35,2912,35,0,1,"F",2
"16640209-4004",7.1,38,"Consultant","Non",80,"CDI",35,6409.4333,21,0,1,"H",2
"16630411-0916",16.4,23,"Compta Finances","Non",44,"CDI",35,1772.9833,20,1,1,"H",3
"16621028-8244",17.3,45,"Commercial","Non",21,"CDI",35,6902.35,17,0,1,"F",3
"16620809-2681",5.6,7,"Consultant","Oui",33,"CDI",24,4795.44,19,0,1,"H",0
"16620606-6349",20.4,9,"RH","Non",39,"CDI",35,3803.8,30,0,0,"H",1
"16620412-8323",11.7,43,"Consultant","Non",1,"CDI",35,3547.4833,39,1,0,"F",2
"16611004-8219",10.2,42,"Commercial","Non",98,"CDI",35,2916.55,35,1,1,"F",2
"16610809-8713",11.9,16,"Compta Finances","Non",68,"CDI",24,1059.76,1,0,1,"F",1
"16610722-2223",10,21,"Commercial","Oui",42,"CDI",35,7927.6167,32,1,0,"H",2
"16610522-9428",5.2,34,"Compta Finances","Non",42,"CDI",35,8332.5667,12,0,0,"F",3
"16601210-4086",22.3,37,"Marketing","Non",74,"CDI",35,4082.8667,28,0,1,"F",1
"16600919-9578",17.2,48,"Commercial","Oui",40,"CDI",35,9785.5333,28,0,1,"H",1
"16600811-0956",14.2,8,"Compta Finances","Non",28,"CDI",35,4421.0833,6,1,1,"H",3
"16600521-9024",12.5,11,"Consultant","Non",69,"CDI",35,2843.75,2,0,0,"H",1
"16590918-0399",21.5,55,"RH","Oui",87,"CDI",35,8563.1,7,0,0,"H",2
"16590417-5196",22.2,37,"Compta Finances","Non",52,"CDI",35,4988.3167,8,0,0,"H",0
"16581203-8213",9.2,65,"Consultant","Oui",5,"CDI",28,7269.08,7,1,1,"H",2
"16580220-7323",12.4,41,"Marketing","Non",32,"CDI",35,1669.85,22,1,0,"H",0
"16571101-6617",23.2,29,"Commercial","Oui",39,"CDI",35,7098,1,1,1,"H",1
"16560730-2626",22.8,67,"R&D","Oui",4,"CDI",35,6526.2167,36,0,1,"H",1
"16560624-9059",11.7,54,"Compta Finances","Oui",96,"CDI",35,8422.05,38,0,1,"F",0
"16560517-2740",6.3,29,"Commercial","Oui",14,"CDI",35,8337.1167,16,0,1,"H",0
"16560416-4227",10.5,56,"Commercial","Non",13,"CDI",35,9777.95,4,1,0,"F",0
"16560125-0110",22.6,47,"Commercial","Non",95,"CDI",35,3677.9167,33,0,0,"H",1
"16560122-3612",22.7,4,"Marketing","Non",45,"CDI",35,9940.2333,24,0,0,"H",0
"16560103-9174",23.5,14,"Consultant","Oui",66,"CDI",35,2777.0167,10,1,0,"H",1
"16551001-4151",24.3,35,"Commercial","Non",47,"CDI",35,6818.9333,14,1,0,"F",2
"16550904-2932",24.2,58,"Marketing","Non",29,"CDI",35,4424.1167,30,0,0,"F",3
"16550903-3725",10,16,"RH","Oui",58,"CDI",35,9928.1,27,1,0,"H",3
"16540728-0337",1.8,6,"Compta Finances","Non",84,"CDD",35,2123.3333,39,0,0,"F",1
"16540514-9153",15.7,69,"Compta Finances","Non",48,"CDI",35,4263.35,31,0,0,"H",0
"16530329-9431",19.4,38,"Commercial","Non",44,"CDI",35,8629.8333,3,0,0,"F",0
"16520612-7770",24.4,39,"R&D","Oui",32,"CDI",35,4663.75,5,0,1,"F",2
"16520121-8566",20.6,64,"RH","Oui",11,"CDI",24,4851.6,14,0,0,"F",0
"16510216-5973",5.9,23,"Marketing","Non",37,"CDI",35,5930.1667,33,0,0,"H",3
"16500514-6310",21.9,55,"Commercial","Non",77,"CDI",35,7496.8833,6,1,0,"F",0
"16500419-9062",11.7,68,"RH","Oui",69,"CDI",35,8108.1,38,0,0,"F",1
"16491209-6288",20.5,45,"Commercial","Oui",7,"CDI",35,6121.2667,32,0,0,"H",0
"16490707-4639",16.2,55,"Marketing","Oui",51,"CDI",35,4563.65,38,1,0,"F",1
"16470418-3807",13,26,"Compta Finances","Oui",78,"CDI",35,9978.15,34,0,1,"H",0
"16461115-9486",10.2,35,"Marketing","Non",92,"CDI",35,4624.3167,15,0,0,"H",1
"16460901-9957",13.7,34,"Compta Finances","Oui",40,"CDI",35,2079.35,7,1,1,"F",0
"16460901-5575",13.2,44,"Consultant","Non",37,"CDI",24,2055.04,12,0,1,"H",2
"16460821-8733",18.7,26,"Commercial","Oui",48,"CDI",35,9573.2,7,0,0,"H",1
"16460313-0032",12.6,33,"Consultant","Oui",82,"CDI",35,4289.1333,12,0,1,"F",0
"16451112-4747",21.8,31,"Marketing","Oui",75,"CDI",35,8056.5333,14,0,0,"F",1
"16451016-1336",0.3,42,"Marketing","Non",25,"CDD",35,3693.0833,24,0,0,"H",2
"16450910-7050",9.8,22,"RH","Non",77,"CDI",35,5106.6167,10,0,1,"F",3
"16441109-5385",1.2,12,"Consultant","Non",100,"CDD",32,2357.3333,12,0,0,"H",1
"16440819-3466",17,28,"Commercial","Oui",42,"CDI",35,3260.8333,30,1,0,"F",1
"16440228-5151",2.9,3,"Consultant","Non",2,"CDI",35,4449.9,33,1,1,"H",3
"16431129-7214",22.2,28,"RH","Non",63,"CDI",35,7877.5667,36,1,0,"F",3
"16431030-6354",8.3,63,"Consultant","Non",50,"CDI",35,4281.55,13,1,0,"H",3
"16431025-4026",22.8,62,"Consultant","Non",34,"CDI",35,4134.4333,22,0,0,"H",0
"16430903-4405",8.8,13,"Marketing","Non",25,"CDI",35,3256.2833,34,0,0,"F",3
"16430518-1481",20.2,65,"Consultant","Oui",63,"CDI",35,6591.4333,19,0,0,"F",1
"16421204-6850",8.7,60,"Compta Finances","Oui",26,"CDI",35,8696.5667,37,0,1,"H",3
"16421009-6154",21.1,5,"Consultant","Non",59,"CDI",35,2073.2833,28,0,1,"F",2
"16420625-3827",9.3,35,"Consultant","Non",62,"CDI",28,5097.2133,10,1,0,"H",0
"16420516-7234",7.5,70,"RH","Oui",86,"CDI",35,7710.7333,27,0,1,"H",2
"16411102-7886",11.8,46,"RH","Non",49,"CDI",35,3882.6667,1,0,1,"H",1
"16410421-3634",14.9,13,"RH","Oui",99,"CDI",35,3835.65,26,0,1,"F",3
"16410407-6098",7.4,5,"Compta Finances","Non",84,"CDI",35,9256.2167,1,1,0,"F",1
"16400510-0542",19,7,"Consultant","Oui",8,"CDI",35,5455.45,7,0,1,"H",3
"16400410-2770",20,57,"Commercial","Oui",44,"CDI",35,8428.1167,18,1,0,"H",2
"16400120-2136",5.8,61,"Consultant","Oui",94,"CDI",35,5810.35,36,1,0,"H",1
"16400112-6921",15.6,36,"Marketing","Non",37,"CDI",35,4022.2,14,0,1,"H",1
"16390301-2403",24,55,"RH","Oui",95,"CDI",35,5035.3333,24,0,1,"H",3
"16390127-6224",23.9,52,"RH","Oui",29,"CDI",35,3797.7333,24,0,0,"F",1
"16381004-1917",21.2,49,"RH","Non",47,"CDI",24,2735.2,27,0,1,"H",0
"16370717-6461",10.8,44,"Marketing","Oui",73,"CDI",35,4763.85,7,1,0,"F",2
"16370212-9440",23.3,60,"R&D","Oui",54,"CDI",35,7654.6167,5,1,1,"H",3
"16360908-7378",10.6,18,"Commercial","Non",84,"CDI",35,8828.5167,17,0,1,"F",3
"16360827-6352",3.5,61,"Compta Finances","Non",44,"CDI",35,2008.0667,35,0,0,"F",1
"16360616-0509",4.8,33,"Compta Finances","Non",14,"CDI",35,4198.1333,34,1,1,"F",2
"16360125-5924",24.7,53,"Commercial","Non",61,"CDI",35,3800.7667,9,1,1,"F",3
"16350925-6446",5.5,46,"Compta Finances","Non",31,"CDI",35,1979.25,6,1,1,"H",2
"16350127-5733",24.2,9,"Commercial","Oui",86,"CDI",35,2828.5833,21,0,0,"H",3
"16341230-0471",23.3,48,"R&D","Oui",57,"CDI",24,6178.64,17,0,0,"H",2
"16341225-2086",22.7,59,"Compta Finances","Oui",6,"CDI",32,6743.36,4,0,0,"F",3
"16340806-9395",9.9,45,"Commercial","Oui",1,"CDI",24,4882.8,17,1,1,"F",0
"16340716-8222",21.1,22,"Commercial","Non",15,"CDI",35,5805.8,37,0,0,"H",3
"16330528-4048",13.9,50,"Commercial","Oui",15,"CDI",35,9555,20,1,0,"F",1
"16330117-4748",3.8,53,"Commercial","Non",58,"CDI",35,2070.25,34,0,0,"F",1
"16320923-9437",15.1,34,"RH","Non",55,"CDI",35,5067.1833,39,1,0,"F",0
"16320910-2411",14.3,31,"Commercial","Oui",31,"CDI",35,7713.7667,23,1,0,"H",3
"16320710-7636",22.6,43,"R&D","Non",41,"CDI",24,4165.2,12,0,1,"H",2
"16311229-8504",17.3,69,"RH","Non",47,"CDI",35,7687.9833,9,0,0,"F",0
"16310403-3810",9.3,57,"Compta Finances","Oui",4,"CDI",35,4204.2,39,1,1,"F",0
"16310121-8257",14.9,6,"Commercial","Non",52,"CDI",35,9488.2667,38,1,1,"H",0
"16301226-6122",19.3,41,"Marketing","Oui",69,"CDI",35,3655.1667,33,0,1,"H",1
"16301213-1524",1.8,59,"Consultant","Non",59,"CDD",35,2558.6167,22,0,0,"H",2
"16300713-6405",7.2,59,"Consultant","Oui",72,"CDI",35,6413.9833,24,1,0,"F",3
"16300407-2348",5.7,24,"Consultant","Non",87,"CDI",35,1703.2167,39,1,0,"F",3
"16290714-4014",6.6,58,"Consultant","Non",92,"CDI",35,2027.7833,19,0,1,"F",1
"16290605-1228",13.8,68,"Marketing","Non",59,"CDI",35,7637.9333,27,0,0,"H",3
"16290104-5498",7.9,28,"R&D","Oui",77,"CDI",35,9573.2,5,1,0,"H",2
"16281009-4371",5.5,67,"Compta Finances","Non",66,"CDI",35,7185.9667,7,1,1,"H",2
"16270818-3112",4.4,43,"RH","Non",20,"CDI",35,5076.2833,33,0,0,"F",0
"16260907-1895",14,44,"Marketing","Non",40,"CDI",35,1598.5667,18,0,1,"F",1
"16260415-5834",4.2,39,"R&D","Oui",32,"CDI",35,5212.7833,11,0,0,"H",0
"16250316-9381",15.8,68,"Compta Finances","Oui",25,"CDI",35,8655.6167,26,1,0,"F",0
"16241218-7045",7.2,28,"Consultant","Oui",13,"CDI",35,3891.7667,32,0,0,"H",2
"16241106-8329",6.7,20,"Marketing","Oui",69,"CDI",35,9218.3,4,0,0,"F",1
"16240920-3425",8.2,3,"Commercial","Non",63,"CDI",35,2309.8833,23,0,0,"F",3
"16240230-3065",19,13,"RH","Non",3,"CDI",35,9642.9667,17,0,0,"H",0
"16231022-5566",6.4,68,"RH","Oui",32,"CDI",35,9635.3833,19,1,0,"H",2
"16230718-4297",24.8,44,"Compta Finances","Oui",47,"CDI",24,3853.2,9,1,1,"F",1
"16230523-1322",8.1,59,"Compta Finances","Non",93,"CDI",35,4013.1,12,0,1,"F",0
"16230105-6343",19.1,50,"Consultant","Oui",99,"CDI",35,6973.6333,31,0,1,"H",0
"16221207-5101",14.2,4,"Consultant","Oui",42,"CDI",35,2024.75,4,1,0,"H",0
"16220428-5924",7,29,"Consultant","Non",68,"CDI",35,6398.8167,11,1,0,"H",0
"16220420-6227",24.2,62,"Consultant","Oui",60,"CDI",35,4000.9667,40,1,1,"H",0
"16220127-8625",16.9,65,"Consultant","Oui",36,"CDI",35,6043.9167,3,1,1,"H",2
"16211102-1297",21.2,44,"Consultant","Non",89,"CDI",35,2918.0667,39,1,1,"H",0
"16200506-8370",19.2,35,"Commercial","Oui",74,"CDI",35,6031.7833,39,1,0,"H",2
"16190724-3065",17.4,41,"Consultant","Oui",68,"CDI",35,2561.65,13,0,0,"H",0
"16181217-7101",16.2,47,"RH","Oui",98,"CDI",24,2507.44,18,1,1,"F",2
"16181212-5860",3.4,42,"Consultant","Oui",60,"CDI",35,2675.4,20,1,0,"H",0
"16181114-4680",12.5,53,"Compta Finances","Non",55,"CDI",35,7601.5333,19,1,1,"F",0
"16170926-3188",6,12,"R&D","Oui",30,"CDI",35,6494.3667,1,0,0,"H",0
"16170623-3887",16.2,19,"RH","Non",15,"CDI",35,3012.1,19,1,1,"F",2
"16170310-5534",14.3,65,"Compta Finances","Non",94,"CDI",35,6127.3333,0,1,0,"F",3
"16160206-9161",6.2,61,"Consultant","Non",24,"CDI",35,2834.65,15,1,0,"H",3
"16141213-3603",4.6,51,"Commercial","Oui",3,"CDI",35,6212.2667,5,1,0,"F",2
"16140409-8707",3,6,"Commercial","Non",41,"CDI",35,6838.65,5,0,0,"F",3
"16130305-6954",24.7,30,"Consultant","Non",51,"CDI",35,5739.0667,6,1,1,"F",1
"16111130-1717",16.2,69,"Commercial","Oui",41,"CDI",35,5949.8833,17,1,0,"H",3
"16111023-3358",13.1,19,"Marketing","Oui",89,"CDI",35,8696.5667,34,1,0,"H",3
"16110307-6129",13.8,63,"Commercial","Oui",81,"CDI",35,9497.3667,17,1,1,"F",3
"16101212-2048",13.8,51,"Commercial","Non",19,"CDI",35,5749.6833,17,0,0,"H",0
"16100719-6502",16.5,47,"Compta Finances","Non",53,"CDI",35,7889.7,27,0,1,"F",0
"16100606-3398",10.3,11,"Compta Finances","Oui",44,"CDI",35,3436.7667,27,1,1,"H",0
"16100424-1459",18.6,49,"Compta Finances","Non",100,"CDI",24,5724.16,15,1,1,"H",3
"16100419-9707",5.2,5,"RH","Non",62,"CDI",35,8746.6167,19,0,1,"F",3
"16100329-5753",7.9,27,"RH","Oui",42,"CDI",35,7148.05,21,1,1,"F",1
"16091122-3147",1.1,14,"Consultant","Non",81,"CDD",35,2226.4667,2,0,0,"F",3
"16090824-7661",9.9,48,"Marketing","Non",17,"CDI",28,7358.8667,31,1,1,"H",2
"16090608-0239",19.5,30,"RH","Non",73,"CDI",24,3060.72,6,0,1,"F",2
"16090206-9129",10.3,38,"Consultant","Oui",25,"CDI",35,3459.5167,30,0,0,"F",1
"16081120-1045",9.1,46,"Consultant","Non",7,"CDI",35,9162.1833,17,1,1,"F",3
"16081104-1011",1.1,31,"Compta Finances","Non",18,"CDD",35,1920.1,17,0,0,"F",3
"16080824-2457",15.2,62,"Compta Finances","Non",96,"CDI",35,7753.2,21,1,0,"H",2
"16080411-7877",13.3,17,"Consultant","Non",9,"CDI",28,2813.72,8,1,1,"H",3
"16080130-8107",24.1,28,"Marketing","Non",54,"CDI",35,7184.45,37,1,1,"H",0
"16060812-9664",20.5,61,"Compta Finances","Oui",70,"CDI",35,2604.1167,32,1,0,"H",0
"16050721-8014",18.6,16,"RH","Non",30,"CDI",35,5293.1667,39,0,1,"F",3
"16050619-6252",23.9,70,"Commercial","Oui",38,"CDI",35,6163.7333,16,1,1,"F",2
"16050407-7405",6.7,7,"RH","Non",35,"CDI",24,4117.36,8,1,1,"F",1
"16050210-5695",23.8,40,"Consultant","Non",9,"CDI",35,9426.0833,24,1,0,"F",1
"16031007-1667",23.1,49,"Commercial","Oui",31,"CDI",35,5092.9667,11,1,1,"F",0
"16030828-8604",18.2,23,"Commercial","Oui",54,"CDI",35,8126.3,36,1,0,"F",1
"16030220-7121",6.3,23,"Consultant","Non",69,"CDI",35,9782.5,38,0,1,"F",0
"16021125-4271",14.9,36,"Commercial","Non",62,"CDI",35,1590.9833,30,1,0,"H",2
"16021124-8356",8.6,34,"RH","Oui",84,"CDI",35,7637.9333,21,1,0,"F",1
"16020725-8401",7.9,59,"Consultant","Non",34,"CDI",35,7304.2667,17,1,0,"F",0
"16020701-3376",10.2,59,"Compta Finances","Non",60,"CDI",35,8328.0167,14,1,0,"F",1
"16020327-1465",11.9,65,"RH","Non",59,"CDI",32,8860.8,19,1,1,"F",3
"16011205-0331",11.8,31,"Commercial","Oui",66,"CDI",24,4974.32,32,0,1,"F",2
"16000206-8278",12.6,59,"Marketing","Non",67,"CDI",35,6583.85,13,1,1,"F",2
